RouteStation,LateNight,Weekday,Late Night Rate,Rank Weekday,Rank Late Night,,Min,RankChange,Type
B - Boston College,31406,26310,1.193690612,1,16,Green,1,-15,Surface
C - Cleveland Circle,12234,12466,0.981389379,23,33,Green,23,-10,Surface
D - Riverside,15915,22391,0.710776651,5,28,Green,5,-23,Surface
E - Heath Street,10121,12812,0.789962535,20,37,Green,20,-17,Surface
Mattapan Trolley,2555,4637,0.551002804,77,104,,77,-27,Surface
SL4 SL5,4358,5799,0.751508881,60,73,,60,-13,Surface
SL4 SL5,10867,15472,0.702365564,10,35,Bus,10,-25,Surface
